backend,pairs,client_workers,server_workers,max_blocking_threads,batch_size,rounds,wall_ms,total_bytes,mb_per_s,error
tcp,1,1,1,2,65536,64,4.551,8388608,1757.694,
rustls,1,1,1,2,65536,64,6.236,8388608,1282.917,
fizz,1,1,1,2,65536,64,8.490,8388608,942.257,
fizz_cpp,1,1,1,2,65536,64,6.708,8388608,1192.517,
tcp,2,2,2,4,65536,64,2.113,16777216,7573.663,
rustls,2,2,2,4,65536,64,6.517,16777216,2455.133,
fizz,2,2,2,4,65536,64,9.600,16777216,1666.681,
fizz_cpp,2,2,2,4,65536,64,7.579,16777216,2111.050,
tcp,4,4,4,8,65536,64,2.881,33554432,11106.773,
rustls,4,4,4,8,65536,64,8.943,33554432,3578.218,
fizz,4,4,4,8,65536,64,12.626,33554432,2534.528,
fizz_cpp,4,4,4,8,65536,64,8.572,33554432,3733.121,
tcp,8,8,8,16,65536,64,4.588,67108864,13949.433,
rustls,8,8,8,16,65536,64,12.783,67108864,5006.731,
fizz,8,8,8,16,65536,64,21.056,67108864,3039.556,
fizz_cpp,8,8,8,16,65536,64,15.085,67108864,4242.742,
tcp,16,16,16,32,65536,64,9.444,134217728,13553.700,
rustls,16,16,16,32,65536,64,22.098,134217728,5792.347,
fizz,16,16,16,32,65536,64,39.879,134217728,3209.723,
fizz_cpp,16,16,16,32,65536,64,29.107,134217728,4397.643,
tcp,32,32,32,64,65536,64,18.402,268435456,13911.878,
rustls,32,32,32,64,65536,64,43.708,268435456,5857.057,
fizz,32,32,32,64,65536,64,76.095,268435456,3364.231,
fizz_cpp,32,32,32,64,65536,64,60.636,268435456,4221.935,
tcp,64,64,64,128,65536,64,42.084,536870912,12166.288,
rustls,64,64,64,128,65536,64,88.694,536870912,5772.678,
fizz,64,64,64,128,65536,64,160.466,536870912,3190.701,
fizz_cpp,64,64,64,128,65536,64,116.369,536870912,4399.797,
